lakeid,year4,daynum,sampledate,depth,rep,sta,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,po4,sio2uf,drsif,brsif,brsiuf,tpm,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagpo4,flagsio2uf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm
"LR",2000,227,2000-08-14,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,227,2000-08-14,8.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,227,2000-08-14,8.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,227,2000-08-14,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,242,2000-08-29,0.000,1,1,0.66,0.70,4.47,4.49,0.0,,9,325,307,9.0,9.0,,,53,98,98,0.42,,,,,,,,,,,,,,,,,
"LR",2000,242,2000-08-29,0.000,1,2,0.49,0.62,4.34,4.86,0.0,,31,467,490,4.0,10.0,,,63,68,68,0.52,,,,,,,,,,,,,,"E",,,
"LR",2000,242,2000-08-29,4.000,1,1,0.94,1.03,4.48,4.47,1.0,,22,307,316,4.0,9.0,,,77,108,129,0.42,,,,,"E",,"E",,,,,,,,,,
"LR",2000,242,2000-08-29,4.000,1,2,0.65,0.78,4.06,4.63,11.0,,343,432,325,9.0,12.0,,,122,129,119,0.38,,,,,,,"NL",,,,,,,,,,"L"
"LR",2000,242,2000-08-29,4.000,2,2,0.84,0.84,4.59,4.60,4.0,,72,401,387,8.0,14.0,,,128,152,119,1.17,,,,,,,"NL",,,,,,,,,,"L"
"LR",2000,242,2000-08-29,6.000,1,1,4.41,4.82,3.70,3.79,0.0,,24,250,303,8.0,17.0,,,68,134,98,1.88,,,,,,,,,,"E",,,,,,,
"LR",2000,242,2000-08-29,6.000,1,2,13.43,17.53,6.84,7.29,23.0,,227,627,1231,10.0,74.0,,,560,564,645,13.92,,,,,,,,,,,,,,,,,
"LR",2000,242,2000-08-29,9.000,1,1,12.16,12.82,9.29,8.86,2.0,,630,1666,1925,115.0,148.0,,,63,412,453,0.96,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,6.000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,255,2000-09-11,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,269,2000-09-25,0.000,1,1,0.92,1.00,3.83,3.78,2.0,,32,213,284,4.0,7.0,,,54,103,83,0.23,,,,,,,,"E",,"E",,,,"E",,,
"LR",2000,269,2000-09-25,0.000,1,2,0.71,0.79,4.48,4.42,0.0,,11,254,330,6.0,9.0,,,55,93,103,0.82,,,,,,,,,,,,,,,,,
"LR",2000,269,2000-09-25,4.000,1,2,0.83,0.93,4.60,4.38,0.0,,35,333,351,12.0,17.0,,,55,93,93,0.95,,,,,,,,"E",,"E",,,,"E",,,
"LR",2000,269,2000-09-25,6.000,1,1,1.14,1.44,3.77,3.93,2.0,,31,249,289,3.0,10.0,,,60,33,53,0.80,,,,,,,,,,,,,,,,,
"LR",2000,269,2000-09-25,6.000,1,2,0.88,0.94,4.53,4.46,0.0,,27,315,335,12.0,15.0,,,55,73,103,2.32,,,,,,,"L","L",,"L",,,,,"L","L","L"
"LR",2000,269,2000-09-25,6.000,2,2,0.94,0.88,4.45,4.47,0.0,,18,249,320,6.0,13.0,,,55,93,133,0.36,,,,,,,"L","L",,"L",,,,,"L","L","L"
"LR",2000,269,2000-09-25,8.000,1,1,5.00,7.45,4.55,5.18,1.0,,76,412,1410,17.0,159.0,,,156,194,214,7.41,,,,,,,,,,,,,,,,,
"LR",2000,269,2000-09-25,9.000,1,1,1.56,13.20,2.44,7.61,2.0,,541,1492,1839,115.0,161.0,,,439,394,459,8.10,,,,,,,,,,,,,,,,"E",
"LR",2000,283,2000-10-09,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,4.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,283,2000-10-09,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,297,2000-10-23,0.000,1,1,0.96,1.01,3.92,3.89,8.0,,43,304,332,13.0,17.0,,,56,67,62,1.65,,,,,,,,,,,,,,,,"E",
"LR",2000,297,2000-10-23,0.000,1,2,0.88,0.95,4.36,4.42,8.0,,10,276,339,10.0,15.0,,,63,66,96,0.47,,,,,,,,,,,,,,,,,
"LR",2000,297,2000-10-23,4.000,1,1,1.09,1.11,3.88,3.90,6.0,,16,311,304,13.0,13.0,,,61,61,57,-0.86,,,,,,,,,,,,,,,,,"K"
"LR",2000,297,2000-10-23,4.000,1,2,0.89,1.03,4.30,4.30,1.0,,11,353,374,15.0,19.0,,,64,56,96,0.81,,,,,,,"L",,,,,,,,"L",,
"LR",2000,297,2000-10-23,4.000,2,2,0.90,1.01,4.31,4.32,2.0,,4,311,388,13.0,21.0,,,64,66,86,0.80,,,,,,,"L",,,,,,,,"L",,
"LR",2000,297,2000-10-23,6.000,1,2,1.12,1.27,4.25,4.28,14.0,,17,311,367,10.0,19.0,,,79,66,96,0.42,,,,,,,,,,,,,,,,,
"LR",2000,297,2000-10-23,9.000,1,1,3.85,3.90,4.71,4.61,1.0,,221,689,801,63.0,81.0,,,217,288,278,3.50,,,,,,,,,,,,,,,,,
"LR",1996,39,1996-02-08,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,39,1996-02-08,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,39,1996-02-08,0.000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,39,1996-02-08,2.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
