lakename,year4,daynum,sampledate,depth,depth_id,doc,DIC_uM,DIC_mg,air_pco2,water_pco2,tpc,tpn
"West Long Lake",1994,217,1994-08-05,0,1,,,,321.89,304.56,,
"West Long Lake",1994,221,1994-08-09,"Metalimnion",-2,6.59,,,,,1.67,0.19
"West Long Lake",1994,221,1994-08-09,"Epilimnion",-1,8.28,,,,,1.32,0.19
"West Long Lake",1994,221,1994-08-09,0.55,2,,,0.39,,,,
"West Long Lake",1994,221,1994-08-09,0,1,,,0.41,,,,
"West Long Lake",1994,221,1994-08-09,1.1,3,,,0.42,,,,
"West Long Lake",1994,221,1994-08-09,1.9,4,,,0.42,,,,
"West Long Lake",1994,221,1994-08-09,2.4,5,,,0.46,,,,
"West Long Lake",1994,221,1994-08-09,3.9,6,,,1.32,,,,
"West Long Lake",1994,224,1994-08-12,0,1,,,,91.29,353.6,,
"West Long Lake",1994,228,1994-08-16,0.5,3,,,0.23,,,,
"West Long Lake",1994,228,1994-08-16,0.9,4,,,0.23,,,,
"West Long Lake",1994,228,1994-08-16,0.3,2,,,0.24,,,,
"West Long Lake",1994,228,1994-08-16,0,1,,,0.25,,,,
"West Long Lake",1994,228,1994-08-16,1.6,5,,,0.27,,,,
"West Long Lake",1994,228,1994-08-16,3.7,6,,,0.49,,,,
